EUR,000001.000000,000001.000000,000001.000000,04/06/2021,07:00
USD,000001.217255,000001.186210,000001.248300,04/06/2021,07:00
JPY,000133.209000,000129.813000,000136.605000,04/06/2021,07:00
GBP,000000.858840,000000.836700,000000.880980,04/06/2021,07:00
SEK,000010.063950,000009.804530,000010.323370,04/06/2021,07:00
NOK,000010.113105,000009.869120,000010.357090,04/06/2021,07:00
DKK,000007.436950,000007.245900,000007.628000,04/06/2021,07:00
CHF,000001.094425,000001.066330,000001.122520,04/06/2021,07:00
CAD,000001.471525,000001.433960,000001.509090,04/06/2021,07:00
HKD,000009.441850,000009.183000,000009.700700,04/06/2021,07:00
AUD,000001.572340,000001.532100,000001.612580,04/06/2021,07:00
NZD,000001.690005,000001.646830,000001.733180,04/06/2021,07:00
ZAR,000016.379130,000015.929300,000016.828960,04/06/2021,07:00
SAR,000004.565200,000004.439400,000004.691000,04/06/2021,07:00
MAD,000010.745300,000010.496900,000010.993700,04/06/2021,07:00
KWD,000000.366105,000000.356210,000000.376000,04/06/2021,07:00
AED,000004.470995,000004.355480,000004.586510,04/06/2021,07:00
SGD,000001.611760,000001.570530,000001.652990,04/06/2021,07:00
INR,000088.700000,000086.800000,000090.600000,04/06/2021,07:00
RUB,000088.627500,000086.259000,000090.996000,04/06/2021,07:00
CZK,000025.427600,000024.725400,000026.129800,04/06/2021,07:00
PLN,000004.462300,000004.338300,000004.586300,04/06/2021,07:00
HUF,000345.818000,000336.244000,000355.392000,04/06/2021,07:00
THB,000037.935500,000036.886000,000038.985000,04/06/2021,07:00
TND,000003.324200,000003.296100,000003.352300,04/06/2021,07:00
BGN,000001.955850,000001.902700,000002.009000,04/06/2021,07:00
CNH,000007.765400,000000.000000,000000.000000,04/06/2021,07:00
HRK,000007.503000,000007.301500,000007.704500,04/06/2021,07:00
ILS,000003.955270,000003.847230,000004.063310,04/06/2021,07:00
MXN,000024.259755,000023.599560,000024.919950,04/06/2021,07:00
RON,000004.923000,000004.789900,000005.056100,04/06/2021,07:00
RSD,000117.605000,000114.660000,000120.550000,04/06/2021,07:00
TRY,000010.547280,000010.268050,000010.826510,04/06/2021,07:00
